loss,acc
1.8268500566482544,0.42578125
1.8624145984649658,0.42578125
1.811692476272583,0.41796875
1.8769077062606812,0.421875
1.845036268234253,0.421875
1.8499020338058472,0.421875
1.9040274620056152,0.40625
1.873311996459961,0.41015625
1.8384342193603516,0.41796875
1.8557980060577393,0.421875
1.8466620445251465,0.41796875
1.8309862613677979,0.42578125
1.9000444412231445,0.40234375
1.8562462329864502,0.41796875
1.827820897102356,0.41796875
1.8424124717712402,0.421875
1.8106087446212769,0.4296875
1.8011109828948975,0.4296875
1.8477215766906738,0.4140625
1.8506864309310913,0.4140625
1.8710544109344482,0.40234375
1.8516414165496826,0.41015625
1.833846092224121,0.4140625
1.819818139076233,0.40625
1.8110830783843994,0.4140625
1.8523411750793457,0.3984375
1.8421971797943115,0.41015625
1.8172067403793335,0.4140625
1.7727631330490112,0.42578125
1.8022937774658203,0.41796875
1.7718613147735596,0.4296875
1.7944891452789307,0.41015625
1.8079874515533447,0.40625
1.7638063430786133,0.42578125
1.7673091888427734,0.421875
1.791739821434021,0.41796875
1.7932870388031006,0.4140625
1.7814313173294067,0.41796875
1.7882453203201294,0.41796875
1.8108837604522705,0.41015625
1.7749148607254028,0.421875
1.797331690788269,0.41015625
1.7828350067138672,0.4140625
1.7865805625915527,0.4140625
1.7133628129959106,0.42578125
1.7584702968597412,0.4140625
1.7886427640914917,0.4140625
1.7649294137954712,0.41796875
1.7667447328567505,0.42578125
1.742505669593811,0.4296875
1.7396795749664307,0.42578125
1.7619746923446655,0.4140625
1.7558658123016357,0.421875
1.7418721914291382,0.421875
1.770491361618042,0.41796875
1.723001480102539,0.4296875
1.7025985717773438,0.44140625
1.7003471851348877,0.43359375
1.7173328399658203,0.42578125
1.7512612342834473,0.421875
1.7404934167861938,0.41796875
1.7354779243469238,0.41796875
1.731994867324829,0.41796875
1.7384328842163086,0.41796875
1.7252955436706543,0.42578125
1.7099316120147705,0.4296875
1.7493245601654053,0.41796875
1.7272239923477173,0.42578125
1.737894058227539,0.41796875
1.704968810081482,0.42578125
1.7304058074951172,0.43359375
1.6852428913116455,0.42578125
1.7095999717712402,0.421875
1.73193359375,0.421875
1.7239781618118286,0.421875
1.7203457355499268,0.421875
1.686126708984375,0.4296875
1.6757240295410156,0.43359375
1.718349814414978,0.421875
1.7260156869888306,0.41796875
1.6664962768554688,0.4296875
1.6976635456085205,0.4296875
1.7023088932037354,0.42578125
1.6949145793914795,0.4140625
1.6917225122451782,0.4296875
1.6658445596694946,0.4375
1.6731789112091064,0.42578125
1.6944392919540405,0.42578125
1.691646695137024,0.42578125
1.696258783340454,0.42578125
1.725055456161499,0.41015625
1.6228125095367432,0.44140625
1.6869226694107056,0.421875
1.675405502319336,0.43359375
1.6700794696807861,0.421875
1.6560828685760498,0.44140625
1.6791921854019165,0.421875
1.6808607578277588,0.41796875
1.6525382995605469,0.42578125
1.6642343997955322,0.42578125
1.6470834016799927,0.4296875
1.6757736206054688,0.421875
1.6970486640930176,0.4140625
1.6529574394226074,0.4296875
1.6103851795196533,0.4453125
1.6656873226165771,0.42578125
1.6578383445739746,0.43359375
1.6565635204315186,0.42578125
1.631813645362854,0.4375
1.597447156906128,0.43359375
1.6278469562530518,0.44140625
1.63892662525177,0.4296875
1.6026833057403564,0.44921875
1.606557846069336,0.4375
1.6577637195587158,0.4296875
1.6393046379089355,0.4296875
1.6196105480194092,0.44140625
1.6374510526657104,0.4296875
1.6366181373596191,0.43359375
1.5799570083618164,0.44921875
